word	reading	meaning	example_jp	example_vi	jlpt	word_type
生	なま	Tươi, mới (chưa chế biến)			3	noun
渇く	かわく	Khát	のどが渇く		3	godan_verb
嗅ぐ	かぐ	Ngửi			3	godan_verb
叩く	たたく	Vỗ, đánh, gõ; Mặc cả; Chỉ trích			3	godan_verb
お尻	おしり	Mông			3	noun
殴る	なぐる	Đấm			3	godan_verb
蹴る	ける	Đá	馬に蹴られる ボールを蹴る	足で勢いよく突く。 また、足にはずみをつけるようにして突いて飛ばす。	3	godan_verb
抱く	いだく	ấp ủ	抱いていた夢が叶った。 疑問を抱く 青年よ大志を抱け	ある考えや感情をもつ。	3	godan_verb
両手	りょうて	đôi tay			3	noun
台風	たいふう	Bão			3	noun
倒す	たおす	Chặt đổ, làm ngã	木を倒す からだを倒す 足をかけて倒す	力を加えて、立っている状態のものを横にする。 横にねかす。 また、ころばす。	3	godan_verb
起こす	おこす	Đánh thức	寝入りばなを起こされる	目を覚まさせる	3	godan_verb
尋ねる	たずねる	Hỏi thăm			3	ichidan_verb
呼ぶ	よぶ	Gọi			3	godan_verb
叫ぶ	さけぶ	Gào, hét, rú lên			3	godan_verb
黙る	だまる	Im lặng			3	godan_verb
飼う	かう	Nuôi			3	godan_verb
数える	かぞえる	Đếm			3	ichidan_verb
数	かず	số			3	noun
乾く	かわく	Khô			3	godan_verb
乾かす	かわかす	Làm khô			3	godan_verb
畳む	たたむ	Gấp, gập, xếp			3	godan_verb
畳	たたみ	Cái chiếu			3	noun
誘う	さそう	rủ			3	godan_verb
奢る	おごる	Đãi, khao			3	godan_verb
預かる	あずかる	Chăm sóc, trông nom			3	godan_verb
預ける	あづける	Giao cho, gửi cho ai đó trông coi hộ			3	ichidan_verb
決まる	きまる	được quyết định			3	godan_verb
写る	うつる	hiện trên ảnh, có thể chụp được	にやけた顔で写っている	写真に姿・形が現れる。 写真が撮れる。	3	godan_verb
写す	うつす	Chép lại	手本を写す 友達のレポートを写す		3	godan_verb
思い出す	おもいだす	Nhớ ra			3	godan_verb
教わる	おそわる	Được dạy	私は週１回山野先生にピアノを教わった。		3	godan_verb
申し込む	もうしこむ	đăng kí			3	godan_verb
断る	ことわる	Từ chối			3	godan_verb
指輪	ゆびわ	Nhẫn			3	noun
見つける	みつける	Tìm thấy, tìm ra; Bắt quả tang			3	ichidan_verb
捕まる	つかまる	Bị bắt, bị tóm; Bám vào, giữ lấy			3	godan_verb
捕まえる	つかまえる	Tóm lấy			3	ichidan_verb
乗る	のる	Lên, cưỡi			3	godan_verb
乗せる	のせる	Cho lên, xếp lên			3	ichidan_verb
下ろす	おろす	Cho xuống (vật)			3	godan_verb
直る	なおる	Được sửa chữa			3	godan_verb
直す	なおす	Sửa chữa (vật)			3	godan_verb
治す	なおす	Chữa trị			3	godan_verb
亡くなる	なくなる	Chết; Biến mất			3	godan_verb
亡くす	なくす	Đánh mất			3	godan_verb
父親	ちちおや	phụ thân			3	noun
生まれる	うまれる	Được sinh ra			3	ichidan_verb
産む	うむ	(Người, động vật) Sinh, đẻ			3	godan_verb
先日	せんじつ	Mấy ngày trước			3	noun
出会う	であう	Gặp gỡ ngẫu nhiên			3	godan_verb
訪ねる	たずねる	ghé thăm			3	ichidan_verb
付き合う	つきあう	Hẹn hò; Đi cùng; Hòa hợp			3	godan_verb
効く	きく	Có tác dụng			3	godan_verb
頭痛	ずつう	Đau đầu			3	noun
流行る	はやる	thịnh hành, mốt	中高年の間で登山が流行る ガレージセールが流行る	その時代の人々の好みに合って、盛んに世の中に行われる。 世間で広くもてはやされる。 流行 (りゅうこう) する。	3	godan_verb
経つ	たつ	Trôi qua			3	godan_verb
間に合わせる	まにあわせる	Làm cho kịp			3	ichidan_verb
すれ違う	すれちがう	Đi ngang qua, lướt qua			3	godan_verb
動く	うごく	lay động, hoạt động			3	godan_verb
動かす	うごかす	Di chuyển, lay động			3	godan_verb
離す	はなす	Để xa ra, làm tránh ra			3	godan_verb
ぶつかる	ぶつかる	Bị đâm, va chạm			3	godan_verb
ぶつける	ぶつける	Đâm vào; Nói thẳng ra			3	ichidan_verb
涙	なみだ	Nước mắt			3	noun
溢れる	あふれる	Ngập tràn			3	ichidan_verb
溢す	あぶす	Làm tràn ra, làm đổ			3	godan_verb
拭く	ふく	Lau, chùi, gạt			3	godan_verb
片付く	かたづく	Ngăn nắp			3	godan_verb
片付ける	かたづける	Dọn dẹp; Giải quyết			3	ichidan_verb
包む	つつむ	cuốn gói trong vải, giấy,... (với tình yêu gửi gắm vào)	書類を風呂敷でくるむ	巻くようにして物をつつむ。	3	godan_verb
貼る	はる	Dán			3	godan_verb
無くす	なくす	Làm mất; Loại bỏ			3	godan_verb
足りる	たりる	Vừa đủ			3	ichidan_verb
収入	しゅうにゅう	Thu nhập			3	noun
残る	のこる	Còn lại, sót lại, đọng lại			3	godan_verb
残す	のこす	Chừa lại, để lại			3	godan_verb
腐る	くさる	Ôi, thiu, suy đồi			3	godan_verb
剥ける	むける	Bị bóc, bị gọt			3	ichidan_verb
剥く	むく	Gọt (vỏ)			3	godan_verb
滑る	すべる	Trượt	スキーで急斜面を滑りおりる 戸がよく滑る 船が川面を滑るように下っていく		3	godan_verb
雪	ゆき	Tuyết			3	noun
積もる	つもる	Chất đống	雪が積もる ほこりが積もる	物が次々に重なって高くなる。 一面に多くたまる。	3	godan_verb
積む	つむ	Tích lũy			3	godan_verb
空ける	あける	Giữ chỗ; Làm trống, rỗng			3	ichidan_verb
下げる	さげる	Hạ thấp xuống	頭を下げる 機首を下げる 目尻を下げる 一字下げて書く		3	ichidan_verb
冷える	ひえる	Lạnh, cóng			3	ichidan_verb
冷やす	ひやす	Làm lạnh			3	godan_verb
冷める	さめる	Nguội			3	ichidan_verb
冷ます	さます	Làm nguội			3	godan_verb
燃やす	もやす	Đốt cháy;			3	godan_verb
沸く	わく	Sôi lên			3	godan_verb
沸かす	わかす	Đun sôi			3	godan_verb
鳴る	なる	Kêu			3	godan_verb
鳴らす	ならす	Làm cho kêu			3	godan_verb
役に立つ	やくにたつ	Có tác dụng, có ích			3	godan_verb
飾る	かざる	Trang trí			3	godan_verb
遊ぶ	あそぶ	Chơi			3	godan_verb
踊る	おどる	Nhảy			3	godan_verb
思う	おもう	Cảm nghĩ tức thời			3	godan_verb
考える	かんがえる	Suy nghĩ (kĩ)			3	ichidan_verb
手伝う	てつだう	giúp đỡ			3	godan_verb
働く	はたらく	Hoạt động; Làm việc			3	godan_verb
決まり	きまり	Luật lệ, quy định			3	noun
騒ぐ	さわぐ	Ồn ào			3	godan_verb
知らせる	しらせる	Thông báo			3	ichidan_verb
違う	ちがう	Khác nhau, không giống	見方が違う 習慣が違う 違った角度から見る	比べてみて同じでない状態を呈する。 相違する。 異なる。	3	godan_verb
始める	はじめる	Bắt đầu			3	ichidan_verb
続く	つづく	Liên tục			3	godan_verb
暮れる	くれる	Mặt trời lặn	日が暮れる		3	ichidan_verb
優勝	ゆうしょう	Vô địch			3	noun
笑う	わらう	Cười			3	godan_verb
驚く	おどろく	Kinh ngạc			3	godan_verb
怒る	おこる	Nổi giận			3	godan_verb
殺人	さつじん	Sát nhân			3	noun
幸せ	しあわせ	Hạnh phúc			3	na_adjective
得意	とくい	Giỏi, sở trường			3	na_adjective
認め	みとめ	Thừa nhận			3	noun
昇進	しょうしん	Thăng tiến			3	noun
夢中	むちゅう	Say mê			3	na_adjective
観客	かんきゃく	Khán giả, khách tham quan			3	noun
育てる	そだてる	Nuôi dạy, nuôi dưỡng			3	ichidan_verb
苦しい	くるしい	Khổ đau			3	i_adjective
悪口	わるぐち	Nói xấu			3	noun
平気	へいき	Bình thản, dửng dưng			3	na_adjective
悔しい	くやしい	Bực bội, cay cú			3	i_adjective
羨ましい	うらやましい	Ghen ăn tức ở			3	i_adjective
才能	さいのう	Tài năng			3	noun
豊か	ゆたか	Dư dả, giàu có; Thanh thản, ung dung; Dày dặn, có sức nặng; Quá giới hạn			3	na_adjective
蚊	か	Muỗi			3	noun
首	くび	Cái cổ			3	noun
痒い	かゆい	Ngứa			3	i_adjective
大人しい	おとなしい	Trầm tính, ít nói			3	i_adjective
我慢強い	がまんづよい	Chịu đựng giỏi			3	i_adjective
正直	しょうじき	Thành thực, trung thực			3	na_adjective
けち	けち	Keo kiệt			3	na_adjective
我儘	わがまま	Ích kỉ			3	na_adjective
積極的	せっきょくてき	Tính tích cực			3	na_adjective
消極的	しょうきょくてき	Tính tiêu cực			3	na_adjective
満足	まんぞく	Mãn nguyện, hài lòng			3	na_adjective
不満	ふまん	Bất mãn			3	na_adjective
不安	ふあん	Bất an			3	na_adjective
不注意	ふちゅうい	Không chú ý, bất cẩn			3	na_adjective
楽	らく	Thoải mái, nhàn hạ			3	na_adjective
面倒	めんどう	Phiền hà, lằng nhằng			3	na_adjective
手続き	てつづき	Thủ tục			3	noun
失礼	しつれい	Mất lịch sự, thất lễ			3	na_adjective
当然	とうぜん	Đương nhiên			3	na_adjective
意外	いがい	Ngoài ý muốn			3	noun
調査	ちょうさ	Điều tra			3	noun
事故	じこ	Tai nạn, sự cố			3	noun
結構	けっこう	Khá, tốt, đủ; tuyệt			3	na_adjective
派手	はで	Lòe loẹt, màu mè			3	na_adjective
地味	じみ	Giản dị, đơn giản			3	na_adjective
お洒落	おしゃれ	Sành điệu, hợp mốt			3	na_adjective
不思議	ふしぎ	Kì lạ			3	na_adjective
増し	まし	Tốt lên, tốt hơn			3	na_adjective
不自由	ふじゆう	Không tự do, tàn phế			3	na_adjective
暖まる	あたたまる	Ấm lên			3	godan_verb
暖める	あたためる	Làm ấm			3	ichidan_verb
高まる	たかまる	Cao lên, tăng lên;			3	godan_verb
高める	たかめる	Nâng cao			3	ichidan_verb
強まる	つよまる	Khỏe, mạnh lên			3	godan_verb
強める	つよめる	Làm mạnh lên, tăng cường			3	ichidan_verb
弱まる	よわまる	Yếu đi			3	godan_verb
弱める	よわめる	Làm yếu đi			3	ichidan_verb
広まる	ひろまる	Được lan truyền (có tính trừu tượng)			3	godan_verb
広める	ひろめる	Làm lan rộng			3	ichidan_verb
深まる	ふかまる	Sâu sắc thêm, uyên thâm			3	godan_verb
深める	ふかめる	Làm sâu sắc thêm	親睦 (しんぼく) を深める 改めて認識を深める	物事の程度を深くする。	3	ichidan_verb
世話	せわ	Chăm sóc, giúp đỡ			3	noun
家庭	かてい	Gia đình (nơi chốn)			3	noun
厳しい	きびしい	Nghiêm khắc	厳しい先生		3	i_adjective
易しい	やさしい	Dễ			3	i_adjective
協力	きょうりょく	Hiệp lực, hợp tác			3	noun
感謝	かんしゃ	Cảm tạ			3	noun
お詫び	おわび	Lời xin lỗi			3	noun
お辞儀	おじぎ	Cúi chào			3	noun
丁寧	ていねい	Cẩn thận, chỉn chu; Lịch sự			3	na_adjective
握手	あくしゅ	Bắt tay			3	noun
意地悪	いじわる	Tâm địa xấu, xấu bụng; Trêu đùa, bắt nạt			3	na_adjective
悪戯	いたずら	Nghịch ngợm; Làm chơi chơi			3	na_adjective
節約	せつやく	Tiết kiệm, dành dụm			3	noun
生活費	せいかつひ	Phí sinh hoạt			3	noun
経営	けいえい	Điều hành, quản lí	会社を経営する	事業目的を達成するために、継続的・計画的に意思決定を行って実行に移し、事業を管理・遂行すること。 また、そのための組織体。	3	noun
反省	はんせい	Tự kiểm điểm			3	noun
実行	じっこう	Thực hành			3	noun
進歩	しんぽ	Tiến bộ			3	noun
変化	へんか	Thay đổi			3	noun
発達	はったつ	Phát triển			3	noun
体力	たいりょく	Thể lực			3	noun
低下	ていか	Suy giảm			3	noun
若者	わかもの	Giới trẻ			3	noun
出場	しゅつじょう	Ra mặt, ra mắt (trình diễn)			3	noun
活躍	かつやく	Cố gắng, nỗ lực một cách đáng nể			3	noun
競争	きょうそう	Cạnh tranh			3	noun
成績	せいせき	Thành tích			3	noun
応援	おうえん	Cổ vũ, hỗ trợ; ủng hộ			3	noun
拍手	はくしゅ	Vỗ tay			3	noun
情報	じょうほう	Thông tin			3	noun
宣伝	せんでん	Tuyên truyền			3	noun
広告	こうこく	Quảng cáo			3	noun
注目	ちゅうもく	Tập trung sự chú ý			3	noun
通訳	つうやく	Thông dịch			3	noun
翻訳	ほんやく	Phiên dịch			3	noun
伝言	でんごん	Nhắn tin			3	noun
報告	ほうこく	Báo cáo			3	noun
録画	ろくが	Ghi hình			3	noun
混雑	こんざつ	Hỗn tạp, đông đúc			3	noun
渋滞	じゅうたい	Tắc đường, tắc nghẽn			3	noun
衝突	しょうとつ	Xung đột, va chạm			3	noun
被害	ひがい	Thiệt hại			3	noun
事件	じけん	vụ việc, vụ án			3	noun
修理	しゅうり	Sửa chữa			3	noun
停電	ていでん	Mất điện			3	noun
雷・雷	かみなり・かみなり	Sấm sét			3	noun
調子	ちょうし	Tình trạng			3	noun
自信	じしん	Tự tin			3	noun
自慢	じまん	Hãnh diện, tâm đắc, tự hào			3	noun
関心	かんしん	Quan tâm (có hứng thú)			3	noun
感動	かんどう	Cảm động			3	noun
興奮	こうふん	Hưng phấn			3	noun
感想	かんそう	Cảm tưởng (biểu thị suy nghĩ)			3	noun
予想	よそう	Đoán trước, trù liệu (cảm tính)			3	noun
専門	せんもん	Chuyên môn			3	noun
研究	けんきゅう	Nghiên cứu			3	noun
原因	げんいん	Nguyên nhân			3	noun
結果	けっか	Kết quả			3	noun
解決	かいけつ	Giải quyết			3	noun
確かめる	たしかめる	xác nhận kiểm tra			3	ichidan_verb
Sai	Sai	[間違[まちが]]う			3	godan_verb
利用	りよう	sử dụng tùy biến			3	noun
減る	へる	Giảm			3	godan_verb
理解	りかい	Hiểu, nắm bắt			3	noun
発見	はっけん	Phát hiện			3	noun
発明	はつめい	Phát minh			3	noun
団体	だんたい	Đoàn thể, nhóm			3	noun
博物館	はくぶつかん	Viện bảo tàng			3	noun
選挙	せんきょ	Bầu cử			3	noun
行う	おこなう	Tổ chức			3	godan_verb
税金	ぜいきん	Tiền thuế			3	noun
責任	せきにん	Trách nhiệm			3	noun
題名	だいめい	Nhan đề			3	noun
条件	じょうけん	Điều kiện			3	noun
採用	さいよう	Tuyển dụng	tuyển theo hướng vượt qua kỳ thi tuyển		3	noun
締め切り	しめきり	Hạn cuối			3	noun
期間	きかん	Kì hạn			3	noun
倍	ばい	Gấp đôi			3	noun
近道	ちかみち	Đường tắt			3	noun
中心	ちゅうしん	Trung tâm			3	noun
辺り	あたり	(cảnh vật) Xung quanh			3	noun
周り	まわり	ven, đường mép, chu vi	湖の周りに沿った道	そのものの外側の縁の部分。 また、その長さ。 周囲。 ぐるり。	3	noun
穴	あな	Lỗ			3	noun
地面	じめん	Mặt đất			3	noun
掘る	ほる	Đào			3	godan_verb
列	れつ	Hàng (dọc), dãy; Cột			3	noun
幅	はば	Chiều rộng			3	noun
範囲	はんい	Phạm vi			3	noun
内容	ないよう	Nội dung			3	noun
中身	なかみ	Nội dung bên trong			3	noun
特徴	とくちょう	Đặc trưng			3	noun
普通	ふつう	phổ thông, thông thường			3	noun
当たり前	あたりまえ	Dĩ nhiên			3	na_adjective
偽	にせ	giả dối			3	noun
国籍	こくせき	Quốc tịch			3	noun
東洋	とうよう	Phương Đông			3	noun
西洋	せいよう	Phương Tây			3	noun
文化	ぶんか	Văn hóa			3	noun
国際	こくさい	Quốc tế			3	noun
支社	ししゃ	chi nhánh			3	noun
企業	きぎょう	Công ty, xí nghiệp			3	noun
発展	はってん	Phát triển; Dẫn đến, thành ra			3	noun
自然	しぜん	Tự nhiên			3	na_adjective
景色	けしき	Phong cảnh			3	noun
宗教	しゅうきょう	Tôn giáo			3	noun
愛	あい	Yêu			3	noun
届ける	とどける	Giao, đưa, chuyển	お歳暮を届ける		3	ichidan_verb
掻く	かく	Gãi, cào, bới;			3	godan_verb
掴む	つかむ	cầm chặt	腕を掴む まわしを掴む	手でしっかりと握り持つ。 強くとらえて離すまいとする。	3	godan_verb
びっくり	びっくり	Ngạc nhiên, giật mình			3	noun
握る	にぎる	nắm	こぶしを握る ペンを握る 車のハンドルを握る	手の指全部を内側へ曲げる。 また、そのようにして、物をつかんだり、持ったりする。	3	godan_verb
押さえる	おさえる	Nắm, nắm bắt được; Giữ, ôm (bụng), che; Trấn áp, chế ngự;			3	ichidan_verb
近づく	ちかづく	Đến gần, tới gần			3	godan_verb
近づける	ちかづける	Kết thân, mang lại gần			3	ichidan_verb
不図	ふと	Đột nhiên, bất chợt; Tình cờ			3	adverb
合わせる	あわせる	Hiệp sức			3	ichidan_verb
当たる	あたる	va vào	ボールが顔に当たる 雨がフロントガラスに当たる	動いて来たものがぶつかる。 また、動きのあるものが触れる。	3	godan_verb
当てる	あてる	Đánh (vật) vào	ボールを頭に当てる 的に当てる		3	ichidan_verb
似合う	にあう	Hợp			3	godan_verb
似る	にる	Giống			3	ichidan_verb
似せる	にせる	Bắt chước			3	ichidan_verb
分かれる	わかれる	Phân chia			3	ichidan_verb
Chia ra	Chia ra	[分[わ]]ける			3	ichidan_verb
財産	ざいさん	Tài sản			3	noun
足す	たす	Cộng vào (phép cộng), thêm vào			3	godan_verb
薄い	うすい	Nhạt, mỏng			3	i_adjective
塩	しお	Muối			3	noun
引く	ひく	kéo, lôi về phía mình	網を引く サイドブレーキを引く 弓を引く	手繰り寄せる。 手前に動かす。 矢を射放つ。	3	godan_verb
増やす	ふやす	Làm tăng lên			3	godan_verb
減らす	へらす	Làm giảm			3	godan_verb
店長	てんちょう	Chủ tiệm			3	noun
返る	かえる	Được trả lại			3	godan_verb
返す	かえす	Làm quay lại			3	godan_verb
譲る	ゆずる	Nhường lại, nhượng lại			3	godan_verb
助ける	たすける	giúp đỡ			3	ichidan_verb
苛める・虐める	いじめる・いじめる	Bắt nạt, trêu chọc			3	ichidan_verb
騙す	だます	Lừa đảo, lạm dụng			3	godan_verb
独身	どくしん	Độc thân			3	noun
留守中	るすちゅう	Trong lúc đi vắng			3	noun
刺さる	ささる	đâm vào, găm vào	とげが刺さる	先のとがった物が他の物に突き立つ。	3	godan_verb
刺す	さす	Đâm, chọc, chích			3	godan_verb
殺す	ころす	Giết			3	godan_verb
隠れる	かくれる	Ẩn nấp, núp, che giấu			3	ichidan_verb
隠す	かくす	Che giấu			3	godan_verb
埋まる	うまる	bị chôn vùi	庭が花で埋まる 雪崩で埋まる	物に覆われてその下になり、見えなくなる。 うずまる。 うずもれる。	3	godan_verb
埋める	うめる	Chôn lấp			3	ichidan_verb
囲む	かこむ	vây quanh			3	godan_verb
詰まる	つまる	Chặt, đầy, tắc nghẽn			3	godan_verb
詰める	つめる	Nhét kín	衣装を詰めた鞄 (かばん) 料理を重箱に詰める		3	ichidan_verb
閉じる	とじる	Khép			3	ichidan_verb
飛ばす	とばす	Làm cho bay	模型飛行機を飛ばす 風船を飛ばす	空中を飛ぶようにする。	3	godan_verb
振る	ふる	lắc, vẫy, ve vẩy	ハンカチを振る 腕を振って歩く 犬がしっぽを振る	からだの一部を、また物の一方の端をもって上下・左右・前後に何度も繰り返すようにして動かす。	3	godan_verb
捲る	めくる	(động từ ghép) V miệt mài, sấp mặt	書き捲る 走り捲る	ずっとその動作を続ける。 盛んに…する。	3	godan_verb
見かける	みかける	Tình cờ gặp			3	ichidan_verb
試す	ためす	thử nghiệm			3	godan_verb
洋服	ようふく	Âu phục			3	noun
繰り返す	くりかえす	Lặp lại			3	godan_verb
体操	たいそう	Tập thể dục			3	noun
訳す	やくす	Dịch			3	godan_verb
間違える	まちがえる	Nhầm			3	ichidan_verb
許す	ゆるす	Tha thứ			3	godan_verb
謝る	あやまる	Xin lỗi			3	godan_verb
慣らす	ならす	làm cho thích nghi, làm cho quen	準備運動をして体を慣らす 水に慣らす 履き慣らした靴	ある状態・環境になれさせる。 少しずつ何度も試みて、そのことが当然のことになるようにする。 また、うまくやれるかどうか前もって調子をためしたり整えたりする。 なじませる。 順応させる。	3	godan_verb
建つ	たつ	Được xây			3	godan_verb
建てる	たてる	Xây lên (những thứ lớn)			3	ichidan_verb
育つ	そだつ	Lớn lên, khôn lớn			3	godan_verb
生える	はえる	Mọc, phát triển			3	ichidan_verb
生やす	はやす	Để dài (râu); Làm cho mọc			3	godan_verb
